16 bots, 12000 games total, 0 already done, 12000 to play, 12 workers
[206/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (11.6s) | elapsed 3m, eta 177m
[207/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (11.5s) | elapsed 3m, eta 177m
[208/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.4s) | elapsed 3m, eta 177m
[209/12000] 04_quiescence_search vs 01_negamax: white by checkmate (11.2s) | elapsed 3m, eta 176m
[210/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (9.0s) | elapsed 3m, eta 176m
[211/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (12.3s) | elapsed 3m, eta 175m
[212/12000] 01_negamax vs 04_quiescence_search: black by checkmate (10.9s) | elapsed 3m, eta 175m
[213/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.6s) | elapsed 3m, eta 174m
[214/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.7s) | elapsed 3m, eta 175m
[215/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (9.0s) | elapsed 3m, eta 174m
[216/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.8s) | elapsed 3m, eta 176m
[217/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (9.0s) | elapsed 3m, eta 176m
[218/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.8s) | elapsed 3m, eta 177m
[219/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (8.9s) | elapsed 3m, eta 176m
[220/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (8.8s) | elapsed 3m, eta 176m
[221/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (8.8s) | elapsed 3m, eta 176m
[222/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.8s) | elapsed 3m, eta 175m
[223/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.7s) | elapsed 3m, eta 175m
[224/12000] 01_negamax vs 04_quiescence_search: black by checkmate (11.6s) | elapsed 3m, eta 174m
[225/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (9.0s) | elapsed 3m, eta 174m
[226/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.9s) | elapsed 3m, eta 173m
[227/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.7s) | elapsed 3m, eta 174m
[228/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.4s) | elapsed 3m, eta 176m
[229/12000] 01_negamax vs 04_quiescence_search: black by checkmate (11.7s) | elapsed 3m, eta 176m
[230/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.9s) | elapsed 3m, eta 177m
[231/12000] 01_negamax vs 04_quiescence_search: black by checkmate (10.9s) | elapsed 3m, eta 176m
[232/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.5s) | elapsed 3m, eta 176m
[233/12000] 01_negamax vs 04_quiescence_search: black by checkmate (11.2s) | elapsed 3m, eta 176m
[234/12000] 04_quiescence_search vs 01_negamax: white by checkmate (10.9s) | elapsed 3m, eta 175m
[235/12000] 01_negamax vs 04_quiescence_search: draw by threefold_repetition (8.5s) | elapsed 3m, eta 175m
[236/12000] 04_quiescence_search vs 01_negamax: white by checkmate (11.0s) | elapsed 3m, eta 174m
